[Published: 2024-08-31]
**Furqan:** Mere father jo thay wo trader thay. Toh matlab in the sense ke wo subah uthte thay, unka pehla kaam ye hota tha, ab wo wo time wo nahi tha ke jab wo akhbaar parh ke, information le ke, wo time ye hota tha ke aap PTCL ke phone lage hote thay deewar ke upar wo jaali lagi hui hoti thi aur wahan pe jo hai na mere abba roz subah 9:00 baje market khulne se pehle pre-open se pehle apne broker se baat karte thay. Aur ye wo time tha jab ek time tha bazaar bohat tezi se tez ho rahi thi na toh matlab har banda aap jis cheez pe haath rakho aapko tezi mil rahi thi. Mujhe acchi tarah se yaad hai 150 rupay ka UBL hota tha, 125 rupay ka UBL hota tha wo cap lagte lagte lagte lagte 250 rupay ka ho gaya tha. Aur aur mere abba bhi usme shamil thay, matlab wo le rahe hain, bech rahe hain, but wohi na retail investor ka masala kya hota hai? Shuru hota hai 125 se, 150 se, aur hum charhte jo hain wo sawa 200 pe hain, jab matlab rally ek dam bilkul aakhri khatam hone wali hoti hai toh humein realize hota hai ke yaar kuch ho gaya. Toh mere abba ke saath bhi yahi hua, unhone sawa 200 pe le liya stock aur uske baad ek aadh ka cap laga, derh cap laga, aur uske baad ek dam se stocks neeche aana shuru hue. Ab mein ye dekh raha tha, mein ye sab samajh raha tha ke yaar ye kabhi abba bohat khush hain, kabhi abba bohat pareshan hain, kabhi kyunki hum kaafi chote thay, mein shayad class 8 mein tha, class 7 mein tha. Toh kabhi unka dimag bohat garam ho jata tha.

**Fire Chaser:** Okay.

**Furqan:** Kabhi wo bohat khush ho jata thay.

**Fire Chaser:** Sahi.

**Furqan:** Toh mujhe samajh mein aaya ke yaar ye it's all because you know he's doing something in the morning aur uski wajah se unka impact... Acha, ab masla ye nahi hai ke wo trade kar rahe thay. Har banda trade karta hai, puri duniya mein to trading is the biggest market, ab log gold ki karte hain, oil ki karte hain. Problem was wo baghair samajhe kar rahe thay, matlab essentially unke liye us waqt hota tha Unity Modaraba, mein ye actual example de raha hoon.

**Fire Chaser:** Okay.

**Furqan:** Unke portfolio mein ek waqt mein do cheezein theen. Ek tha UBL aur ek tha Unity Modaraba. Matlab aaj mujhe samajh mein aata hai ke ye dono zameen aur aasman ki different cheezein hain.

**Fire Chaser:** Hmm.

**Furqan:** But ek retail investor ke liye na, dono cheezein same hain.

**Fire Chaser:** Same.

**Furqan:** Wo kehte hain jo cheez upar ja rahi hai wo mere liye acchi hai.

**ARN:** Unhone price dekhni hai.

**Furqan:** Wo price dekhein ge, jo cheez upar ja rahi hai wo mere liye acchi hai, jo cheez neeche aa rahi hai... Toh ab jab understanding hi nahi thi ke bhai UBL hai kya, karta kya hai? Bas UBL bank hai, ye pata tha. Toh mujhe realize hua ke yaar agar mere abba jo ke us waqt 10 saal se ye kar rahe thay, matlab wo jala dete thay, phir wapas paise daalte thay, phir grow karte thay, phir jala dete thay, do baar unhone kiya tha aisa sa. Toh mein ne kaha agar mere abba ke saath ye ho sakta hai... aur, by the way, wo jo broker tha, wo mere abba ka bohat hi aziz dost tha. Matlab aisa dost tha ke ghar mein aana jaana tha, theek hai, wo North Nazimabad mein raha karte thay. No complaints against him, but ye puri industry is tarah, isi tarah bani hui hai na. Toh mein ne, mein ne socha ke yaar Furqan I need to do something, jahan pe retail investor ko na, ABC samajh mein aa jaye.

**Fire Chaser:** Hmm.

**Furqan:** Ye ye kaam karta hai, ye company ye kaam karti hai, ye hoga to ye accha hoga, ye hoga to ye bura hoga, aur apne bacchon ko daant daantein na matlab jo bhi...

**Fire Chaser:** Toh in the sense wo jo...

**Furqan:** ...to in the sense wo jo jo mood off hota hai na, ke yaar wo dopahar ko aa rahe hain kya hua daddy? Beta aaj mera 45,000 rupay ka nuksan ho gaya, kya hua daddy? Wo UBL neeche aa gaya. Acha us waqt kyunki mere family mein ye sab ho raha tha toh mujhe saare stocks ke naam yaad thay. You know, UBL, HBL, OGDC aur ye UniCap Modaraba aur is type ki cheezein. Toh mein ne socha tha ke yaar I will do something about it, toh mein ne phir CNBC dekhna shuru kiya, tab hamare paas CNBC ka channel hota tha jab analyst subah aake baithta tha aur puri market ke baare mein, sectors ke baare mein...

**Fire Chaser:** Acha.

**Furqan:** ...toh mein ne wahan se shuru kiya. Ab wo nahi hai to kisi na kisi ko wahan hona hai us jagah pe, kyunki meri meri career ki jo, aur mein broker bhi pehle research analyst, phir head of research, phir broker, head of institutions jo ke institutions ko batate hain, mein bana hi isliye because mere paas ek introduction tha ke yaar ye companies business, Business Plus aata tha us waqt ya CNBC hota tha, wahan pe jo hai na banda betha hota tha aur batata tha ke yaar ye company isliye acchi hai, is company ka result aane wala hai, hum ye expect kar rahe hain, hum ye... mein ne kaha yaar ye sirf subah phone ko utha ke hello, hi, Assalam-o-Alaikum, kaise hain aap? Kya lena chahiye, kya bechna chahiye? Se bari cheez hai ye. There is something jo ke tie suit pehn ke banda bhi betha hai, mere abba ka koi taaluk nahi hai tie suit se. But tie suit pehne wala banda career bana ke betha hai toh I should do something about it.

**Fire Chaser:** Okay.

**Furqan:** Phir mein industry mein aa gaya, mein ne research ki, lekin jab mein sales mein aaya to ek aur bara mujhe shock laga, mujhe shock ye laga ke... aur this is no problem for the broker, matlab this is no issue from the angle ke broker galat karta hai. Broker jag kaam karta hai na he is concerned ke wo kitni trades karata hai aapko, kyunki uska jo pura ghar hai na, pure finances hain na, wo us pe chalte hain.

**Fire Chaser:** Wo uske revenue model pe.

**Furqan:** Revenue model hi aisa hai. Ab uska ek aur doosra reason bhi hai. Hamare Pakistan mein investors itne kam hain ke wohi 10,000 banda, 20,000 banda, 25,000 ho ga individual retail UIN jo hon ge. 25,000 bande ko hi aapas mein khel ke naye paise dalwane hain, unhi ko roll karwana hai, aur unhi se paise kamana... ab aapko shayad pata ho ke nahi pata ho, ek broker jo hota hai na uske targets hote hain. Wo targets kya hote hain? Ke jaise uski 50,000 rupay ki salary hai na toh do lakh ka commission to usko karke dena hai company ko agar usko apni naukri safe karni hai.

**Fire Chaser:** Okay.

**Furqan:** Theek hai? Kuch time tak company bardasht karti hain, but agar consistently wo banda do lakh se kam kama raha hai to us bande ko phir wo red marks ho jaate hain uske. Agar us bande ko incremental kuch kamana hai, agar 50,000 rupay pe aaj ek banda laga hua hai to uska kuch nahi chal raha hai, kuch bhi nahi chal raha hai, right?

**Fire Chaser:** Sahi hai.

**Furqan:** Toh usko kya karna hai? Trade... ab do lakh rupay se upar jitna bhi kamaye ga na uska 10, 15, 20 percent uska hissa hoga.

**Fire Chaser:** Okay.

**Furqan:** Theek hai? Matlab use teen lakh rupay kamaya to do lakh to usne apni salary ko justify kiya, ek lakh rupay usne, ab ek lakh ka usko 10 percent mile ga yani 10,000 rupay. Toh yani industry is built on the fact ke agar wo das lakh ke revenue pe pahonch jata hai to he'll be making aath lakh ka 10 percent which is 80,000 rupay, 80 aur 50, ek tees jo bhi amount banta hai. Ab aap samajh rahe hain? He is aligned towards it. Toh mein jab, mein jab institution desk pe aaya, meri retail high net worth individuals se, bade bade logon se baat-cheet hona shuru hui toh mujhe ek realize hua ke yaar sab se acchi service hai na...

**Fire Chaser:** Hmm.

**Furqan:** ...is waqt milti hai HNWI's ko aur institutions ko. Service kya hoti hai pata hai? "Sir ye result aaya hai, ye hamare us se kam aaya hai, ye hamare us se zyada aaya hai, humein lagta hai ke is waqt ye karna chahiye, humein lagta hai sir is waqt ye karna chahiye, is company ka market share kam ho gaya hai, is company ka market share barh gaya hai, unhone likh diya hai, example ke taur pe".

**Fire Chaser:** Research based.

**Furqan:** Research based. Mein ne kaha yaar ye service retail individuals ko kyun nahi mil sakti? Aap samajh rahe hain?

**Fire Chaser:** Hmm.

**Furqan:** Jab mein ghusa toh mujhe nazar aaya ke yaar the spectrum is so peeche...

**Fire Chaser:** Hmm.

**Furqan:** ...that I cannot start off from ke kaun si company acchi hai, kaun si company buri hai, kyun acchi hai, kya wo hai, the spectrum should start off from the fact ke why stock market.

**Fire Chaser:** Yes.

**Furqan:** Kyun ek aisa asset class, jisko genuinely speaking...

**Fire Chaser:** Hmm.

**Furqan:** ...wo, kabhi kabhi hota hai na ke yaar bohat saare employees hote hain, ek employee hota hai jo ke sab ko khattakta hai, matlab uski salary bhi kam hoti hai, usko koi, wo matlab engage bhi nahi karta hai, usko koi poochta bhi nahi hai, wo bechara apni mehnat kiye ja raha hai, sab kuch kiye ja raha hai, mujhe lagta hai stock market Pakistan mein aisi hi hai.

**Fire Chaser:** Hmm.

**Furqan:** Matlab taxes sab se pehle CGT stock market pe laga. Stock market pe CVT, ye jitne bhi taxes hain pehle se lagte aaye hain, stock market ke log kam hain. Anything that can go against the stock market...

**Fire Chaser:** Is going against it.

**Furqan:** ...is going against the stock market.

**Fire Chaser:** Okay.

**Furqan:** Despite that...

**Fire Chaser:** Hmm.

**Furqan:** ...this is the best asset class...

**Fire Chaser:** Hmm.

**Furqan:** ...that an individual, jo mein abhi tum se sawal poochne wala hoon...

**Fire Chaser:** Yes.

**Furqan:** ...as a retail individual tumhara paas kya is pe wo hai, but this is the best asset class possible.

**Fire Chaser:** Theek.

**Furqan:** Toh mein ne kaha yaar ye agar mein ne introduce kar diya aur ek baccha TV ke samne betha hai, pehle TV hote thay ab YouTube hote hain. Ab YouTube pe agar meri video dekh ke, Rehman ki video dekh ke, baaki logon ki video dekh ke, sirf ye seekh gaya na ke yaar "this is something that I want to look at, pursue"...

**Fire Chaser:** Yes.

**ARN:** Yes.

**Furqan:** ...matlab uski, jaise meri zindagi change hui...

**Fire Chaser:** Haan.

**Furqan:** ...from zero to probably, kabhi mere mere ghar mein koi head of research nahi raha hai, institutional broker nahi raha hai.

**Fire Chaser:** Sahi.

**Furqan:** Toh unki bhi zindagi change ho sakti hai. Toh mein ne kaha yaar this is something...ARN: This is something that I want to look at, pursue.

Guest: Yes.

ARN: Matlab uski jaise meri zindagi change hui, from zero to probably kabhi mere mere ghar mein koi head of research nahi raha hai, institutional broker nahi raha hai.

Guest: Sahi.

ARN: To unki bhi zindagi change ho sakti hai. To maine kaha yaar, this is something that I need to do. Chahe main job ke saath karun, job ke bagair karun, this... to maine isko is tarah se pura apna passion bana liya. What do you think, tumhara kya tha?

Guest: Furqan ne last baat ki na, ke stock market is the number one wealth creator of Pakistan. Meri journey bhi isi cheez se start hui.

ARN: Alright.

Guest: Maine Pakistan mein experience ke bajaye, ziada jo US market thi, uski AGM suni.

ARN: Okay.

Guest: Berkshire Hathaway ki AGMs bohot ziada suni, aur ye samajh aaya ke compounding jo hai na, aapko long-term mein bohot ziada return de sakti hai.

ARN: Sahi.

Guest: Aur ye ek aisa platform hai, jahan pe ek high-net-worth aur retail investor barabar hai.

ARN: Okay.

Guest: Ye bohot logon ko samajh nahi aati.

ARN: Acha, kaise barabar hain?

Guest: Dekhein, jab aap kisi company mein ek share khareed lete hain, to aap uske owner ke barabar uski aapki partnership ho jaati hai. Ziada tar videos mein hum log batate hain ke stock market aisa platform hai ke aap kisi bhi business mein equal partnership kar sakte hain. Ab hum log graph bhi iska kaafi batate rehte hain, pichle 25 saal mein kaun se asset class ne sabse ziada return diya hai.

ARN: Theek.

Guest: Us point of view se stock market ne real estate ke top projects ko bhi peeche chor diya hai.

ARN: Sahi.

Guest: Aur lekin kisi se bhi baat karo, mere personal experience mein bhi, jab maine do teen saal is mein spend kar liye, aur apne abbu se kaha ke bhai stock market mein account kholte hain...

ARN: Hmm.

Guest: ...to kehte hain, maine to jis se bhi baat kiya, uska to nuksaan hi hua hai.

ARN: Haan.

Guest: Aur main dekhun ke bhai internationally bhi sabko faida ho raha hai, Pakistan mein bhi long-term mein sabko faida ho raha hai, to ye kaun log hain jinka hamesha nuksaan ho jata hai?

ARN: Sahi.

Guest: To again, guidance. Guidance, aap jo hai, longer-term cheez ko chor ke jab short-term cheezon pe aa jaate hain, volatility apne against kar lete hain. Stock market ki volatility se faida uthana hai, ye nahi ke uske uske against apna nuksaan karna hai.

ARN: It's a, it's a feature, not a bug.

Guest: It's a feature, aur aap matlab...

ARN: We often use this, by the way.

Guest: Haan haan.

ARN: Lekin isko is context mein leke aana, it's a, it's a nice thought ke yaar, it's a feature, not a bug.

Guest: Theek. Sahi. Okay. Aur matlab ke agar aap without doing anything, sirf index mein invest kar dein jismein top 30-40 companies ka acha weight hota hai, to aap bohot ziada wealth create kar sakte hain. Aur aage hum aur discuss karenge ke kya returns hain different asset classes ke, but meri journey ziada ye thi ke maine dekha stock market is a very good wealth creator, phir usko samjha ke uske peeche saare mechanics kya hain, aur mechanics kuch nahi hain. Mechanics sirf ye hai aapne uska business analyze karna hai company ka, agar aapko samajh aata hai uski management samajh aati hai, aapne unke saath equal partner ban jaana hai. Agar aapko lagta hai koi bohot bada change aa gaya hai company mein, to aap adjust kar lein uske hisab se. Aur kuch karne ki zaroorat nahi hai. Roz subah uth ke 9:30 baje ya 9:35 pe...

ARN: Sawa nau baje. Mere wale time pe sawa nau baje.

Guest: Sawa nau baje ki zaroorat nahi hai aapko ke aaj kaunsa share upar hai kaunsa neeche hai. Agar dekhein, ek Pakistan ki mujhe ye jo cap wala feature hai, ab 10% ho gaya hai. Agar ek share 100 ka hai, aapne 90 pe usko khareedna nahi hai, 110 pe bechna nahi hai.

ARN: Okay.

Guest: To aapne kya karna hai price dekh ke? Aap apne doosre kaamon pe focus karein.

ARN: Theek.

Guest: Aap din ke aakhir mein dekh lein, agar wo 110 pe aa gaya hai aur aap soch rahe the 120 pe bechne ka to agle din chalein aapki range mein aa gaya, aap dekh sakte hain. Ye roz roz dekh ke na log kya karte hain, price fluctuation se andaza lagate hain ke ye company achi ja rahi hai ya buri ja rahi hai.

ARN: Sahi.

Guest: Price upar unko lagta hai sab acha ho raha hai.

ARN: Theek.

Guest: Aur agar price neeche hai to unko lagta hai sab bura ho raha hai.

ARN: Sahi.

Guest: Aur ye real estate market mein ulta hota hai. Wahan jo hai wo dekh rahe hote hain bhai plot ki development ho rahi hai ke nahi ho rahi, zameen pe wo possession mil raha hai ke nahi.

ARN: Haan haan, right, right.

Guest: Lekin yahan kyunki wo thoda mushkil hai company ko samajhna, to wo price ko apna wo bana lete hain number one indicator, jo ke sabse badi galti hai.

ARN: Sahi.

Guest: To...

ARN: But ek maine, main jab video bana raha hota hoon na, to mujhe ek surprising fact hai. Main data analytics nahi dekhta tha. To maine data analytics dekhna shuru kiya, to mujhe nazar aaya ke yaar koi 11-12% to Indian audience aa rahi hai.

Guest: Okay.

ARN: To, I was so surprised ke, okay, Pakistan has all the issues, we understand, inflation and everything, we have all the issues. To mujhe nazar aaya ke yaar, agar ek barabar mein same education level bhi farak hai, we agree on all this...

Guest: Haan, of course, of course.

ARN: But agar wo log samajh sakte hain, itni badi market ban sakte hain, matlab Sri Lanka ki market default ke baad dip karke, people came back to it. Hum kyun nahi kar sakte? Phir mujhe mujhe mujhe andaza hua ke yaar, we are missing out on a big picture. But, what I realized using Twitter is, not everybody is missing. Ek retail investor hai jo aaj andhere mein baitha hai...

Guest: Sahi.

ARN: ...he is not missing. To why don't you tell us ke yaar, tipping point kya tha? Investment ka to hamesha tumne suna hoga.

Guest: Sahi.

ARN: Tipping point kya tha ke yaar ye tipping point tha ke ab mujhe investment karni hai?

Guest: Wo kaun si cheez thi jis se samajh aaya ke stock market is the number one wealth creator? Main batata hoon na, dekho. Maine na pehli book jo parhi thi na wo thi Rich Dad Poor Dad. Uske andar na ek unhone cash flow quadrant diya hua hai chaar uska. Jismein aap employee hote ho ya...

ARN: Self-employed hote ho, business hota hai.

Guest: ...self-employed hote ho, investor hote ho. To maine socha yaar, mujhe na B aur I mein jaana hai. Kaam main karta tha apna, government job ek thi meri. Phir meri ek jagah job lag gayi, wo it was a good paying job. Maine na ek hotel khola.

ARN: Acha.

Guest: Yes, yes. My first business was a restaurant. Acha restaurant tha, aur 2015 ki baat hai, at that time I probably spent like 3 million or something.

ARN: Okay.

Guest: Aur maine socha ab to main ameer ho jaunga. Ab ye business chalega, main ameer ho jaunga. Ghar ke saare afraad us mein lag gaye, ammi, abbu, sab bhai, chachu, sab apna us mein hissa daal rahe hain. Wo to main usko aath mahine bhi nahi chala paya, kyunki na koi experience tha, na kuch pata tha kis tarah profits mujhe banane hain. Aur hotel ka kaam jo hota hai restaurant ka, aapko lagta hai aasan hai, wo poore din ka kaam hota hai. Ek din pehle aapne groceries lani hain, ye wo. Khair, wo band kar diya maine. Maine bola nahi, ye to main nahi kar sakta, business to main nahi kar sakta. Phir ek jo hai, mere abbu ke dost hain unhone bola tum ek kaam karo mere saath partnership kar lo, aur paise mere paas the. I had money, but I had no idea ke isko karna kya hai maine, is se maine aur money kaise generate karni hai. To unhone bola yaar mera na pallet ka business hai, koi wo...

ARN: Pallet?

Guest: Wo hote hain lakdi ke jinke upar aap saamaan rakh ke unko crane se uthate ho.

ARN: Ah, okay, okay, right.

Guest: I didn't know ke kya business tha. Unhone bola tum mujhe ek million de do, aur ye main tumhein jo hai na do million karke char mahine mein return kar dunga. Maine bola ye to bohot aasan hai! Maine unko paise de diye, partnership kar li unke saath. Wo bhai, do mahine to chor do, wo do saal ke baad bhi mujhe abhi tak poore paise nahi mile. Uske baad jo hai na maine phir YouTube ko kholna shuru kiya ke yaar kya kar sakta hoon. Phir maine khud, ek jo hai na YouTuber hain Andrei Jikh karke. Phir mujhe samajh mein aaya yaar ke business karne ke liye, business banana zaroor thodi hai.

ARN: Hmm, exactly.

Guest: Main to business khareed bhi sakta hoon. Aur business khareedne ki sabse achi jagah stock market thi. Ab mujhe ye to pata chal gaya ke stock market mein se main businessman ban sakta hoon. Chote level pe banunga lekin ban sakta hoon, ek share khareed sakta hoon, ek uska part khareed sakta hoon. Phir jo hai wahan se meri poore ek journey start hui. Tum mil gaye, Abdul Rehman mil gaya, aur halke halke mujhe itna confidence aa gaya. Start maine dividend investment se kiya tha, kyunki mujhe khud nahi pata tha ke main kis darya mein utar raha hoon ya kis samandar mein ja raha hoon. To phir mujhe bada faida hua na us se. Mujhe jab do char dividend aaye na...

ARN: Confidence. Wo ek aisa confidence boost karta hai aapka...

Guest: Yes, yes, yes, yes.

ARN: ...jaise example thi, paise diye aur paise aaye nahi.

Guest: Haan, nahi aaye.

ARN: Lekin dividend mein paise aa gaye, confidence badh gaya.

Guest: Confidence. To wahi wahi wahi bilkul exactly ke jab confidence aapko milta hai na, ke yaar mere paas paise aa rahe hain. Matlab zaya nahi hue, barbad nahi hue, main kuch theek kar raha hoon. Mere liye shuru main jab bhi main, jo abhi maine jo last video dali hai, jo maine us mein jo poori bataya 50,000 se 100 million poora, maine us mein yahi bola ke yaar, if you are from 18 to 25 na, ab aapka career pe focus hai, aap koshish kar rahe ho ke yaar main mehnat karun. Ek aur maine newsletter pe bhi likha had ke yaar 50,000 rupay mahina bachana aur 15% kamana saal ka, aur lakh rupay 15% kamana versus aap kehte ho nahi main 50,000 rupay 25% kamane ki koshish karunga aur you know, all these tips of the world and all these... Jab bazaar chal rahi hoti hai na, to sab ki sab ek hi cheez hoti hai. Sabko har kachre se kachra stock ho, essentially kachra stock ziada tezi se badh raha hota hai.

ARN: Sahi.

Guest: To hamein retail investor ko lagta hai ke yaar ye company chhupi hui thi, aur hamare na human psychology ke andar kya hai, chhupi hui cheezein ka chhupi hui cheezon ka bohot shauk hai hamein ke yaar maine nikala. Ye main ye maine kisi ko pata bhi nahi tha, log soch bhi nahi rahe the aur uske baare mein. Ab wo jab cheez badhti hai to aapko lagta hai ke yaar aap bohot top pe hain, aur aisi time pe aaj aaj aap mazaak ko utha ke dekhein last ek mahine ke andar kaun se stocks badhein hain. Aapko nazar aa jayega ke wo stocks hain jismein aksar ke aage DEF likha hota hai, wo defaulter hota hai. Matlab is company ke andar ab kuch nahi hai, but wo...

Guest: Exchange ki fees bhi nahi pay kar sakte.

ARN: Ye stock exchange ki fees bhi pay nahi kar sakte, to aapko kya denge? Haan, hazaaron laakhon mein hoti hai, koi ziada fees nahi hoti, wo bhi uski bhi, aur hamein lagta hai ke yaar we have made so much money. So, that's the that's the problem. Income pe focus, that's humara acha tum bhi yahi baat karte ho, main bhi yahi baat karta hoon. Income pe focus hona chahiye, confidence aapko start karne ke liye na stock market mein... kyun log, kabhi socha hai ke yaar only 5% of the mutual fund industry ke jo AUMs hain wo stock market fund mein hain. 95% is in money market, income, ye jo debt category hai iske andar hai. Kyun hai? Kabhi sochna abhi jab main logon se baat karta hoon, main wo bhi discuss karunga. Ye hai ke yaar, jab aap kisi alien cheez mein ja rahe hote ho na, jab aapne kabhi nahi suna hota hai. Pakistanion ne kya suna hai, aapko pata hai? Pakistanion ne suna hai ke naukri karni hai aur plot lena hai.

Guest: Yes, do cheezein suni hain.

ARN: Hum ispe waise baat karenge abhi aage jaake, ye naukri wala...

Guest: Ek finance teacher ne baat jo ki na, ke start aapne kiya ke bhai main business to khareed nahi sakta, to main business ka part ban jata hoon. But is mein bilkul bhi disheart hone ki zaroorat nahi hai. Warren Buffett ki poori journey stock market se start hui hai, aur jaise jaise aapke paas capital aata rehta hai, aap poori poori companies bhi khareed lete ho.

ARN: Yes, haan.

Guest: To ye koi ye journey jo hai na, aaj aap jo start kar rahe hain, ho sakta hai agar aap acha perform karenge...Abdul Rehman Najam (ARN): But is mein bilkul bhi disheart hone ki zaroorat nahi hai. Warren Buffett ki poori journey stock market se start hui hai aur jaise jaise aapke paas capital aata rehta hai aap poori poori companiyan bhi khareed lete ho.

Speaker 3: Yes, haan.

Abdul Rehman Najam (ARN): To ye koi, ye journey jo hai na aaj aap jo start kar rahe hain, ho sakta hai agar aap acha perform karenge 15-20 saal baad aap business owner bhi ban sakte hain.

Speaker 3: Good.

Furqan: Why not? Agar aapko itni achi industries... usko See's Candies samajh mein aa gaya business, to usne le liya na. It was the highest ever allocation.

Abdul Rehman Najam (ARN): Wohi, wohi, woh stock market ke through business owner bana na. To jab wo koi business khareedta hai na, to usmein apni jo intervention hai wo nahi karta. Wo kehta hai ke acha business khareed liya hai, sahi chal raha hai, unless koi boht bada problem hai mujhe intervene karne ki zaroorat nahi hai. Aur ye mindset saara stock market se aaya hai. Ek actual jo business owner jisne khud business khada kiya ho wo aisa boht mushkil hota hai uske liye ye approach develop karna.

Speaker 3: Haan. Main agar, main agar apna jo restaurant ka experience hai, even though it was like eight and a half months, lekin agar main usko ab sochun na stock market ke upar rakh kar, to maine to abhi boht paisa daal diya iske andar. To main bolta hoon yaar maine to boht galtiyan karein. Aur ek jo cheez jisne mujhe conviction di na, maine shuru kiya tha 2 million se. To wo thi ke yaar aap jo hai na aise logon ko reach out karo jo ismein time se hain, jinki baat aapko samajh mein aati hai. Unse seekho ke yaar kahan pe main galti kar sakta hoon, kya galti main kar raha hoon, aur kya aisi cheez hai jo mujhe ek jagah se jaldi se doosri jagah leke ja sakti hai. Ye meri life ka saara funda hai ke main pay karta hoon logon ko aur unka time le leta hoon. Log is cheez ko acha nahi samajhte, main isko acha samajhta hoon. Ke agar kisi ke paas experience hai na, you just pay him aur just agar wo free mein dene ko taiyar hai. Problem ye hai free mein dene ki ke har shaks ki ek family hai, uske paas 24 ghante hain. Agar wo har kisi ko apna ek limited time dene lag jayega to phir wo apni family ko time nahi dega. To in cheezon ko sochte hue maine jo hai na, mujhe lagta hai jaise ab tum dono mere saamne baithe hue ho to ab jo main yahan pe time guzaar raha hoon ya jo main tum dono ke saath time guzaarta hoon wo meri experience mein musalsal izafa karta rehta hai. To do saal baad, dhai saal baad ek time aisa aayega ke aap jo hai wo boht jaldi jaldi jo hai na wo rise karne lag jaoge, cheezon ke andar samajhne ke andar ke kis tarah se dekhna chahiye mujhe cheezon ko, kya mujhe feel karna chahiye, agar mera, mera portfolio neeche jata hai to meri kya feelings honi chahiyein. Ye sab cheezon na boht matter karti hain agar aapne ek badi amount invest karni hai.

Furqan: Haan aur badi amount kabhi bhi jo log mere paas aate hain na baat karne ke liye, main unko kabhi bhi kehta hoon ke paisa aapke paas kitna bhi ho, never start with going all in. Never do that. Kyun ke agar aapne ek saath paisa lagaya, dekho yaar, achi se, abhi example ke taur pe, Fauji Cement chalta hua plant tha?

Speaker 3: Mmm.

Furqan: Kuch saal pehle ki baat hai, achanak se uska kiln gir gaya. Let's think about it ke agar aapne apni jama-punji usse do mahine, che mahine, aath mahine pehle, ek stock ke andar, aur saari wealth laga di hoti, to aap to mar gaye the, right? Wo floor lagta chala gaya aur I think 50% stock neeche aa gaya tha.

Speaker 3: Okay.

Abdul Rehman Najam (ARN): PICT ki example bhi.

